year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1758.0,34.0,1832.0,2012.0,7.0,0,100.0,700,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2042.0,16.0,2058.0,2227.0,6.0,0,89.0,594,0,87
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,840.0,20.0,900.0,1030.0,10.0,0,90.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2111.0,17.0,2128.0,12.0,6.0,0,164.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2159.0,28.0,2227.0,7.0,6.0,0,100.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1652.0,15.0,1707.0,1947.0,9.0,0,160.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1619.0,16.0,1635.0,1822.0,17.0,0,167.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1511.0,16.0,1527.0,1751.0,5.0,0,144.0,1096,0,22
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,140.0,40.0,220.0,258.0,4.0,0,38.0,204,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1613.0,19.0,1632.0,1843.0,7.0,0,131.0,1013,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,958.0,13.0,1011.0,1146.0,5.0,0,95.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,516.0,16.0,532.0,720.0,20.0,0,168.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,819.0,14.0,833.0,1113.0,9.0,0,160.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1452.0,23.0,1515.0,1643.0,7.0,0,88.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1158.0,17.0,1215.0,1344.0,7.0,0,89.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1948.0,26.0,2014.0,2245.0,5.0,0,151.0,1194,0,0
